tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
"இன்றும் சவூதி அரேபியா, ஈரான், யெமென், ஆப்கானிஸ்தான் உட்பட பல இஸ்லாமிய நாடுகளில் சமயம் துறப்பவர்களுக்கு மரண தண்டனை சட்டத்தில் உள்ளது.","iṉḏrum chavūdhi arēbiyā, īrāṉ, yemeṉ, āpkāṉisdhāṉ uṭpaḍa pala islāmiya nāḍugaḷil chamayam thuṟappavargaḷukkŭ maraṇa thaṇḍaṉai chaṭṭathil uḷḷadhu."
"மேற்கூறியவாறு, உறைபனியற்ற எந்த பகுதிகளிலும் மாமரங்கள் வளரும்; ஆனால், 12-15 பாகை C வெப்பநிலைக்குக் கீழே வளர்ச்சி குன்றிவிடும்.","mēṟkūṟiyavāṟu, uṟaibaṉiyaṯṟa yendha pagudhigaḷilum māmaraṅgaḷ vaḷarum; āṉāl, 12-15 pāgai C veppanilaikkuk kīzhē vaḷarchi kuṉḏriviḍum."
"[[1976 கோடை ஒலிம்பிக்ஸ்|1976 கோடை ஒலிம்பிக் போட்டிகளில்]] , ஜிம்னாச்ட் [[நாதியா கோமநேசி|நாதியா கோமாநேசி]] முதன் முதலாக பத்துக்கு பத்து எண்கள் கிடைத்து வெற்றிபெற்றவரானார்.","[[1976 kōḍai olimbiks|1976 kōḍai olimbik pōṭṭigaḷil]] , jimṉāchṭ [[nādhiyā kōmanēsi|nādhiyā kōmānēsi]] mudhaṉ mudhalāga pathukkŭ pathŭ yeṇgaḷ kiḍaithŭ veṯṟibeṯṟavarāṉār."
துணை ஆலயங்களிலும் பல அழகிய தெய்வத்திருவுருவங்கள் உள்ளன.,thuṇai ālayaṅgaḷilum pala azhagiya theyvathiruvuruvaṅgaḷ uḷḷaṉa.
"புதுமைப்பித்தன் எழுத, ராஜ சந்திரசேகர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் எம்.","pudhumaippithaṉ yezhudha, rāja chandhirasēgar iyakkathil veḷivandha ithiraippaḍathil yem."
கெடிலம் ஆற்றங்கரையில் அழிபாடுகளாக உள்ள புனித டேவிட் கோட்டை குறிப்பிடத்தக்க வரலாற்றை உடையது.செஞ்சி மன்னர்களால் கட்டப்பட்ட சிறிய கோட்டையாயிருந்த இது 1677 இல் செஞ்சிக் கோட்டையை சிவாஜி கைப்பற்றிய பின்னர் மராட்டியரின் கைக்கு வந்தது.,keḍilam āṯṟaṅgaraiyil azhibāḍugaḷāga uḷḷa puṉidha ṭēviṭ kōṭṭai kuṟippiḍathakka varalāṯṟai uḍaiyadhu.chenji maṉṉargaḷāl kaṭṭappaṭṭa chiṟiya kōṭṭaiyāyirundha idhŭ 1677 il chenjik kōṭṭaiyai chivāji kaippaṯṟiya piṉṉar marāṭṭiyariṉ kaikkŭ vandhadhu.
பிறகு லாடோன் நதியில் புனித நீராடியபோது டிமிடரின் கோபம் அடங்கியது.,piṟagŭ lāḍōṉ nadhiyil puṉidha nīrāḍiyabōdhŭ ṭimiḍariṉ kōbam aḍaṅgiyadhu.
"இந்நூலானது பாயிரம், சுவை நூல், தொகை நூல் என் முப்பிரிவுகளைக் கொண்டதாகும்.","innūlāṉadhŭ pāyiram, chuvai nūl, thogai nūl yeṉ muppirivugaḷaik koṇḍadhāgum."
"எனினும் இத்தகைய குறிப்புக்களிருந்து, இலங்கை பற்றித் தமிழ்நாட்டினருக்கு நல்ல பரிச்சயம் இருந்ததென்பதுவும், இலங்கைத் தீவுக்கும் தமிழ்நாட்டுக்கும் இடையிலான தொடர்புகள் மக்கள் இலகுவாகப் போக்குவரத்துச் செய்யக் கூடிய அளவில் இருந்தது என்பதையும் தெளிவாக்குகின்றது.","yeṉiṉum ithagaiya kuṟippukkaḷirundhu, ilaṅgai paṯṟith thamizhnāṭṭiṉarukkŭ nalla parichayam irundhadheṉbadhuvum, ilaṅgaith thīvukkum thamizhnāṭṭukkum iḍaiyilāṉa thoḍarbugaḷ makkaḷ ilaguvāgap pōkkuvarathuch cheyyak kūḍiya aḷavil irundhadhŭ yeṉbadhaiyum theḷivākkugiṉḏradhu."
(ஜெயசீலன் ஸ்டீபன் 1999; 32) ஆனால் இவையிரண்டும் இன்னும் வரலாற்றாய்வாளர்களின் பார்வைக்குக் கிட்டவில்லை.,(jeyasīlaṉ sḍībaṉ 1999; 32) āṉāl ivaiyiraṇḍum iṉṉum varalāṯṟāyvāḷargaḷiṉ pārvaikkuk kiṭṭavillai.
"1893 ஆம் ஆண்டில் ""ஹவாய் பசிபிக்"" இராச்சியத்தின் தனித்துவமான முடியாட்சியை அமெரிக்கவாசிகளின் தலைமையிலான ஒரு ராணுவப் புரட்சி தூக்கி எறிந்தது; அமெரிக்கா இந்த தீவுத் தொகுப்புகளை 1898 இல் இணைத்துக் கொண்டது.","1893 ām āṇḍil ""havāy pasibik"" irāchiyathiṉ thaṉithuvamāṉa muḍiyāṭchiyai amerikkavāsigaḷiṉ thalaimaiyilāṉa orŭ rāṇuvap puraṭchi thūkki yeṟindhadhu; amerikkā indha thīvuth thoguppugaḷai 1898 il iṇaithuk koṇḍadhu."
கோபமும் வீரமும் கொண்ட இளைஞனாக வரும் விஷாலை சுற்றி கதை தொடங்குகின்றது.,kōbamum vīramum koṇḍa iḷaiñaṉāga varum vishālai chuṯṟi kadhai thoḍaṅgugiṉḏradhu.
மறுகணமே இதற்கோர் அச்சம் கொளேன்; மருந்து கண்டேன் என்றவராய் தம் மற்றைக் கண்ணைத் தோண்டமுனைந்தார்.,maṟugaṇamē idhaṟkōr acham koḷēṉ; marundhŭ kaṇḍēṉ yeṉḏravarāy tham maṯṟaik kaṇṇaith thōṇḍamuṉaindhār.
ராகவன் மற்றும் பலரும் நடித்துள்ளனர்.,rāgavaṉ maṯṟum palarum naḍithuḷḷaṉar.
தலைசிறந்த கல்விமான் என்பதுடன் திறமைமிக்க சிருஸ்டிகர்த்தா என்றும் கூறக்கூடியதாக விளங்கினார்.,thalaisiṟandha kalvimāṉ yeṉbadhuḍaṉ thiṟamaimikka chirusḍigarthā yeṉḏrum kūṟakkūḍiyadhāga viḷaṅgiṉār.
"அரசாங்க வழக்கத்திற்கு மாறாக, ""சுப்பிரமண்யம் அறிக்கை"" பொதுமக்கள் பார்வைக்காக வெளியிடப்பட்டது.","arasāṅga vazhakkathiṟkŭ māṟāga, ""chuppiramaṇyam aṟikkai"" podhumakkaḷ pārvaikkāga veḷiyiḍappaṭṭadhu."
"சீனாவின் சோங் (Song) வம்சத்தின் குறிப்பொன்று, சோழ வணிகக் குழுவொன்று, கி.பி 1077 ஆம் ஆண்டில், சீன அரசவைக்குச் சென்றது பற்றிக் கூறுகின்றது.","chīṉāviṉ chōṅ (Song) vamsathiṉ kuṟippoṉḏru, chōzha vaṇigak kuzhuvoṉḏru, ki.pi 1077 ām āṇḍil, chīṉa arasavaikkuch cheṉḏradhŭ paṯṟik kūṟugiṉḏradhu."
"அது உண்மையில்லை, திருமணத்திற்கு பின் இவரை பிரௌ (பியூர்ரின் மனைவி) அழைக்க ஊழியர்கள் பணிக்கப்பட்டனர்.","adhŭ uṇmaiyillai, thirumaṇathiṟkŭ piṉ ivarai pirau (piyūrriṉ maṉaivi) azhaikka ūzhiyargaḷ paṇikkappaṭṭaṉar."
பழங்கால இலக்கியங்களில் வணிகர்கள் பலவகைகளாகப் பிரிக்கப்பட்டிருந்தனர்.,pazhaṅgāla ilakkiyaṅgaḷil vaṇigargaḷ palavagaigaḷāgap pirikkappaṭṭirundhaṉar.
சூதாட்டத்தில் பல மத முன்னோக்குகள் கலந்திருக்கின்றன.,chūdhāṭṭathil pala madha muṉṉōkkugaḷ kalandhirukkiṉḏraṉa.
அறிவியல் தொழில்நுட்ப வரலாற்றாசிரியரான பெர்ட் எசு.,aṟiviyal thozhilnuṭpa varalāṯṟāsiriyarāṉa perṭ yesu.
"பாரசீகத்தில் வெடிமருந்து சீனா உப்பு எனவோ () ""namak-i chīnī"") அல்லது சீன உப்பளங்களில் இருந்துவந்த உப்பு எனவோ வழங்கியுள்லது.","pārasīgathil veḍimarundhŭ chīṉā uppŭ yeṉavō () ""namak-i chīnī"") alladhŭ chīṉa uppaḷaṅgaḷil irundhuvandha uppŭ yeṉavō vazhaṅgiyuḷladhu."
1968-இல் திறந்த போட்டிகள் காலம் தொடங்கியவுடன் 5 போட்டிகளும் அமெரிக்க டென்னிசுத் திறந்த போட்டிகளுடன் இணைக்கப்பட்டன.,1968-il thiṟandha pōṭṭigaḷ kālam thoḍaṅgiyavuḍaṉ 5 pōṭṭigaḷum amerikka ṭeṉṉisuth thiṟandha pōṭṭigaḷuḍaṉ iṇaikkappaṭṭaṉa.
இங்கு நாகராசன் பூசித்தால் இறைவன் நாகேசப்பெருமானாகத் திகழ்கின்றார்.,iṅgŭ nāgarāsaṉ pūsithāl iṟaivaṉ nāgēsapperumāṉāgath thigazhgiṉḏrār.
"வெப்பநிலை விரிவு குணகம் 0 °செல்சியசு வெப்பநிலையில் 181.59 × 10−6 ஆகவும், 20 °செல்சியசு வெப்பநிலையில் 181.71 × 10−6 ஆகவும், 100 °செல்சியசு வெப்பநிலையில் 182.50 × 10−6 ஆகவும் உள்ளது.","veppanilai virivŭ kuṇagam 0 °selsiyasŭ veppanilaiyil 181.59 × 10−6 āgavum, 20 °selsiyasŭ veppanilaiyil 181.71 × 10−6 āgavum, 100 °selsiyasŭ veppanilaiyil 182.50 × 10−6 āgavum uḷḷadhu."
பேர்லினை தன் கட்டுப்பாட்டுக்குள் மீட்டுக்கொண்டது.,pērliṉai thaṉ kaṭṭuppāṭṭukkuḷ mīṭṭukkoṇḍadhu.
அதிகாரத்தை மாற்றித்தரும் திட்டத்துடன் இங்கிலாந்து அமைச்சரக தூதுக்குழு வந்ததால் நேருவும் அவரின் சகாக்களும் விடுவிக்கப்பட்டனர்.,adhigārathai māṯṟitharum thiṭṭathuḍaṉ iṅgilāndhŭ amaicharaga thūdhukkuzhŭ vandhadhāl nēruvum avariṉ chagākkaḷum viḍuvikkappaṭṭaṉar.
"""அதன் முதல் பாடல் ஜாகர்/ரிசர்ட்ஸ் பாடலான “வைல்ட் ஹார்ஸஸ்” இன் ஒரு நகலாகும்.","""adhaṉ mudhal pāḍal jāgar/risarṭs pāḍalāṉa “vailṭ hārsas” iṉ orŭ nagalāgum."
கப்பல்கள் காலனித்துவம் மற்றும் அடிமை வர்த்தகம் போன்ற நோக்கங்களுக்காக பயன்படுத்தப்பட்டு வந்தன.,kappalgaḷ kālaṉithuvam maṯṟum aḍimai varthagam pōṉḏra nōkkaṅgaḷukkāga payaṉbaḍuthappaṭṭŭ vandhaṉa.
இ.தொ.க நுழைவுத்தேர்வு ஒவ்வொரு ஆண்டும் அனைத்து இ.தொ.கவிற்கும் பொதுவாக ஒருங்கிணைந்து நடத்தப்படுகிறது.,i.tho.ka nuzhaivuthērvŭ ovvorŭ āṇḍum aṉaithŭ i.tho.kaviṟkum podhuvāga oruṅgiṇaindhŭ naḍathappaḍugiṟadhu.
இது அழைப்பு நெரிசல் ஓரளவு குறைவான வலையமைப்பாகும்.,idhŭ azhaippŭ nerisal ōraḷavŭ kuṟaivāṉa valaiyamaippāgum.
கேரளாவில் ஒரு கோவிலில் சில நண்பர்கள் முன்னிலையில் ம.,kēraḷāvil orŭ kōvilil chila naṇbargaḷ muṉṉilaiyil ma.
"காடழிப்பு மக்கள் தொகை அதிகரிப்பினால் ஏற்படும் அழுத்தம் ம மந்தமான பொருளாதார, சமூக, தொழில்நுட்ப நிலைமைகள் ஆகியவற்றினால் ஏற்படலாம்.","kāḍazhippŭ makkaḷ thogai adhigarippiṉāl yēṟpaḍum azhutham ma mandhamāṉa poruḷādhāra, chamūga, thozhilnuṭpa nilaimaigaḷ āgiyavaṯṟiṉāl yēṟpaḍalām."
அவற்றை அறக்கட்டளை தன் உலகத்தமிழ் நூலகத்துடன் இணைத்துக் கொள்ள முயற்சி மேற்கொள்ளுதல்.,avaṯṟai aṟakkaṭṭaḷai thaṉ ulagathamizh nūlagathuḍaṉ iṇaithuk koḷḷa muyaṟchi mēṟkoḷḷudhal.
"மரத்தில் குடைந்தெடுக்கப்பட்ட இசைக் கருவிகளைச் சிலப்பதிகாரம் குயிலுவக் கருவிகள் என்றும், இக் கருவிகளை இசைப்போரைக் குயிலுவ மாக்கள் என்றும் குறிப்பிடுகிறது.","marathil kuḍaindheḍukkappaṭṭa isaik karuvigaḷaich chilappadhigāram kuyiluvak karuvigaḷ yeṉḏrum, ik karuvigaḷai isaippōraik kuyiluva mākkaḷ yeṉḏrum kuṟippiḍugiṟadhu."
"இந்தத் தீவு இந்தோனேசியா, மலேசியா, புரூணை ஆகிய நாடுகளின் ஆளுமையில் உள்ளது.","indhath thīvŭ indhōṉēsiyā, malēsiyā, purūṇai āgiya nāḍugaḷiṉ āḷumaiyil uḷḷadhu."
இதன் உப பொருட்கள் மேற்தோலும் முளையும் ஆகும்.,idhaṉ uba poruṭkaḷ mēṟthōlum muḷaiyum āgum.
"மேலும், இங்கு எந்த வித சிலைகளும் இருக்காது.","mēlum, iṅgŭ yendha vidha chilaigaḷum irukkādhu."
தமிழக முன்னாள் முதலமைச்சரான மு.,thamizhaga muṉṉāḷ mudhalamaicharāṉa mu.
"பாடல்வரிகளை வைரமுத்து, வாசன், வைகரை செல்வம், பட்டுக்கோட்டை சண்முக சுந்திரம் ஆகியோர் எழுதியிருந்தனர்.","pāḍalvarigaḷai vairamuthu, vāsaṉ, vaigarai chelvam, paṭṭukkōṭṭai chaṇmuga chundhiram āgiyōr yezhudhiyirundhaṉar."
"விறுவிறுப்பான திரைக்கதைகளைக் கொண்ட தில், தூள், கில்லி உள்ளிட்ட வெற்றித் திரைப்படங்களை இயக்கியுள்ளார்.","viṟuviṟuppāṉa thiraikkadhaigaḷaik koṇḍa thil, thūḷ, killi uḷḷiṭṭa veṯṟith thiraippaḍaṅgaḷai iyakkiyuḷḷār."
கட்டாயப்படுத்திக் கிறிஸ்தவத்துக்கு மதம் மாற்றியதன் மூலம் அவர்களைத் தனது ஆட்சிக்குள் ஒன்றிணைத்தார்.,kaṭṭāyappaḍuthik kiṟisdhavathukkŭ madham māṯṟiyadhaṉ mūlam avargaḷaith thaṉadhŭ āṭchikkuḷ oṉḏriṇaithār.
"நோயின் நிகழ்வு பொதுவாக மிகவும் குறைவானதாக இருப்பினும், வயது வந்தோர்களுக்கு இந்த நோய் தாக்கம் மிகவும் கடுமையாக இருக்கும்.","nōyiṉ nigazhvŭ podhuvāga migavum kuṟaivāṉadhāga iruppiṉum, vayadhŭ vandhōrgaḷukkŭ indha nōy thākkam migavum kaḍumaiyāga irukkum."
"இதனால் பங்குனி உத்திர விரதம் திருமண விரதம் என்றும், கல்யாண விரதம் என்றும் போற்றப்படுகிறது.","idhaṉāl paṅguṉi uthira viradham thirumaṇa viradham yeṉḏrum, kalyāṇa viradham yeṉḏrum pōṯṟappaḍugiṟadhu."
கடல் மட்டத்தில் இருந்து இவ்வூர் சராசரியாக 211 மீட்டர் (692 அடி) உயரத்தில் இருக்கின்றது.,kaḍal maṭṭathil irundhŭ ivvūr charāsariyāga 211 mīṭṭar (692 aḍi) uyarathil irukkiṉḏradhu.
பொதுவாக அனைத்து மெல்லுடலிகளும் துண்டுபடாத உடலையும் இரட்டைச் சமச்சீரையும் கொண்டுள்ளன.,podhuvāga aṉaithŭ melluḍaligaḷum thuṇḍubaḍādha uḍalaiyum iraṭṭaich chamachīraiyum koṇḍuḷḷaṉa.
ஜ.,ja.
இவர் பகுதிநேர சுழற்பந்து வீச்சாளாரும் ஆவார்.,ivar pagudhinēra chuzhaṟpandhŭ vīchāḷārum āvār.
என்று துத்திதான்.,yeṉḏrŭ thuthidhāṉ.
"மலேரியாவின் அறிகுறிகளாவன: காய்ச்சல், உடல் நடுக்கம், மூட்டுவலி (மூட்டுகளில் வலி ஏற்படுதல்), வாந்தி, இரத்த சோகை (இரத்தமழிதலினால் ஏற்படுகிறது), ஈமோகுளோபின் நீரிழிவு, விழித்திரை சேதமடைதல், மற்றும் வலிப்புகள்.","malēriyāviṉ aṟiguṟigaḷāvaṉa: kāychal, uḍal naḍukkam, mūṭṭuvali (mūṭṭugaḷil vali yēṟpaḍudhal), vāndhi, iratha chōgai (irathamazhidhaliṉāl yēṟpaḍugiṟadhu), īmōguḷōbiṉ nīrizhivu, vizhithirai chēdhamaḍaidhal, maṯṟum valippugaḷ."
"தனது தந்தையிடமும் காசி மேடு சதாவதாணி வைரக்கண் வேலாயுதம் புலவர் (1830-1892), வல்லக்காளத்தி வீ.","thaṉadhŭ thandhaiyiḍamum kāsi mēḍŭ chadhāvadhāṇi vairakkaṇ vēlāyudham pulavar (1830-1892), vallakkāḷathi vī."
சீனிவாசன் தயாரித்தார்.,chīṉivāsaṉ thayārithār.
