english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
Lord Shiva appeared as a test.,சிவபெருமான் சோதிப்பிழம்பாகத் தோன்றினார்.,chivaberumāṉ chōdhippizhambāgath thōṉḏriṉār.,siveperumaan joodhiyaa therunjaar,sivaperumaan jodhiyaa vandharu
I know your grief.,உன் மனக்குழப்பம் அறிகிறேன்.,uṉ maṉakkuzhappam aṟigiṟēṉ.,uon manasu kozhappam puriyadhu,uon mana kashtam puriyudhu
Published by Thamilini Publishing.,தமிழினி பதிப்பகத்தால் வெளியிடப்பட்டிருக்கிறது.,thamizhiṉi padhippagathāl veḷiyiḍappaṭṭirukkiṟadhu.,thamizhini padhippagam veliyittuchu,thamizhini press laa velivandhuchi
Alexei died in prison.,அலெக்ஸி சிறைச்சாலையில் இறந்துவிட்டார்.,aleksi chiṟaichālaiyil iṟandhuviṭṭār.,aleksi jeyle seththu poyittaar,aleksi jailaye yerandhutaram
He did not know this.,இதை அவர் அறிந்திருக்கவில்லை.,idhai avar aṟindhirukkavillai.,idhu avarukku theriyale,idhu avaruku theriyadhu
The author's name is unknown.,ஆசிரியர் பெயர் தெரியவில்லை.,āsiriyar peyar theriyavillai.,aasiriyar paeru theriyale,teacher paeru theriyale
There are some here.,சிலவும் இங்கு உள்ளன.,chilavum iṅgŭ uḷḷaṉa.,sile inge irukku,siladhu inge irukku
"""Manam"" is ""measurement"".","""மானம்"" என்பது ""அளவீடு"".","""māṉam"" yeṉbadhŭ ""aḷavīḍu"".",maanam-ngiradhu alaveedu,maanam-ngiradha alavu pannu
Sen is involved in Buddhism.,சென் பௌத்தத்தில் ஈடுபாடுள்ளவர்.,cheṉ pauthathil īḍubāḍuḷḷavar.,zen budhdhisam pudikkum,zen budhdhisam pudikkum
There was also a shutdown in Delhi.,தில்லியிலும் கடையடைப்பு நடந்தது.,thilliyilum kaḍaiyaḍaippŭ naḍandhadhu.,delliyale kadaiyadappu nadandhachu,delli-layum kadaiyadappu panitangalam
The left is folded inside.,இடதுகால் உள்ளே மடக்கப்பட்டிருக்கும்.,iḍadhugāl uḷḷē maḍakkappaṭṭirukkum.,leftukkaalu ulle madakkiyirukkum,lefttu kaalu ulle madangi irundhuchi
The film was not released.,அந்தத் திரைப்படம் வெளியிடப்படவில்லை.,andhath thiraippaḍam veḷiyiḍappaḍavillai.,andha padam velivarale,andha padam inum varala
Libya was released in 1951.,லிபியா 1951-இல் விடுதலைப்பெற்றது.,libiyā 1951-il viḍudhalaippeṯṟadhu.,libya 1951le sudandharam vaangichu,libya 1951le vidudhalaiachi
They learned Tamil curiously.,தமிழை ஆர்வத்துடன் கற்றனர்.,thamizhai ārvathuḍaṉ kaṯṟaṉar.,thamizhe aarvamaa kaththukittaange,thamizha interest oda kaththukutanga
That land is Liberia.,அந்த நிலம்தான் லைபீரியா.,andha nilamdhāṉ laibīriyā.,andhe nelamdhaa laibeeriyaa,andhe land dhan laibeeriyaa
He will not eat too.,தானும் உண்ண மாட்டான்.,thāṉum uṇṇa māṭṭāṉ.,avanum saapdemaataan,avanum saapdemaataan
He is the best speaker.,இவர் சிறந்த பேச்சாளர்.,ivar chiṟandha pēchāḷar.,avaru nallaa pesuvaaru,avaru nalla pesuvaaru
Srinivasan is a lawyer.,சீனிவாசன் ஒரு வழக்கறிஞர்.,chīṉivāsaṉ orŭ vazhakkaṟiñar.,seenivaasan oru vakkeelu,seenivaasan vakkeelu
He repaired the ruined forts.,இடிந்துகிடந்த கோட்டைகளை பழுதுபார்த்தார்.,iḍindhugiḍandha kōṭṭaigaḷai pazhudhubārthār.,idinji poona kottaingkale sari senjaar,idinji poona kottaiyalam sari pannaaru
But no one was found.,ஆனால் யாரும் தென்படவில்லை.,āṉāl yārum theṉbaḍavillai.,aanaa yaarum theriyale,aanaa yaarum ila
Sarath composed music.,சரத் இசையமைத்தார்.,charath isaiyamaithār.,sarath isaiamaichaar,sarath music potaru
But that is not the case.,ஆனால் அதுபோல் நிகழ்வதில்லை.,āṉāl adhubōl nigazhvadhillai.,aana athumaathiri nadakkarathille,aana andha maari aanadhila
The heart is cone -shaped.,இதயம் கூம்பு வடிவானது.,idhayam kūmbŭ vaḍivāṉadhu.,idhayam koobu vadivam,idhayam koombu vadivam
The trio is shown in the picture.,படத்தில் முப்பட்டகம் காட்டப்பட்டுள்ளது.,paḍathil muppaṭṭagam kāṭṭappaṭṭuḷḷadhu.,padathula 3D kaattapattirukku,padathula 3D effect irukku
Jayawardena opened.,ஜெயவர்தனா திறந்து வைத்தார்.,jeyavardhaṉā thiṟandhŭ vaithār.,jeyavardhana thorandhu vachaar,jeyavardhana therandhaaru
He has two brothers.,அவருக்கு இரண்டு தம்பிகள்.,avarukkŭ iraṇḍŭ thambigaḷ.,avarukku rendu thambinge,avarukku rendu thambhinga
Sneha was born in Mumbai.,சினேகா மும்பையில் பிறந்தார்.,chiṉēgā mumbaiyil piṟandhār.,sneha mumbaiyile poranthaange,sneha mumbaiyile poranthaange
The soil is rich.,மண்வளம் செழுமை பெறுகின்றது.,maṇvaḷam chezhumai peṟugiṉḏradhu.,mannu sezhumaiye irukku,mannu sezhmaiye irukku
The tail is also white.,வாலும் வெள்ளையாக உள்ளது.,vālum veḷḷaiyāga uḷḷadhu.,vaalu vellaiye irukku,vaalum white-ah irruku
This is very firm.,இது மிகவும் உறுதியானது.,idhŭ migavum uṟudhiyāṉadhu.,idhu romba thidamairukku,idhu rombha strong-a irukku
They are very slim.,அவை மிக மெலிந்தவை.,avai miga melindhavai.,adhu rombavum  mellisanathu,adhu rombha sannamaa irukku
Today is the day.,அதற்குரிய நாளும் இன்றேயாகும்.,adhaṟkuriya nāḷum iṉḏrēyāgum.,adhukkaana naal innaikkuthaan,adhukkuaana naal than iniki
Who can make decisions boldly.,தைரியமாக முடிவுகளை எடுக்கக்கூடியவர்.,thairiyamāga muḍivugaḷai yeḍukkakkūḍiyavar.,dheiriyama mudivu eduppaar,dheiriyama mudivu edupaaru
They scored with color powders.,வண்ணப் பொடிகளால் கோலமிட்டனர்.,vaṇṇap poḍigaḷāl kōlamiṭṭaṉar.,vanna podiyala kolam pottaange,color podiyala kolam pottaange
This is called radiation.,இதுவே கதிரியக்கம் எனப்படுகின்றது.,idhuvē kadhiriyakkam yeṉappaḍugiṉḏradhu.,idhudhaan kathirveechi appadeengaradhu,idhudhaan kathirveechi appadeengaradhu
The man who invented this was Archimedes.,இதனைக் கண்டுபிடித்தவர் ஆர்க்கிமிடீஸ்.,idhaṉaik kaṇḍubiḍithavar ārkkimiḍīs.,idhai kandupudichavaru arkkimidis,idha kandupudichavaru arkkimidis
Publisher in English.,ஆங்கிலத்தில் இதழ் வெளியிட்டவர்.,āṅgilathil idhazh veḷiyiṭṭavar.,aangiladhile patthirikkai veliyittavaru,englishle paper veliyittavaru
Horses are more visionary.,குதிரைகளுக்கும் பார்வைத்திறன் அதிகமாகும்.,kudhiraigaḷukkum pārvaithiṟaṉ adhigamāgum.,kudhirainga  paarvai adhigamaagum,kudhiraikum paarvai jaasthi
These are obvious.,இவை வெளிப்படையாகத் தெரிகின்றன.,ivai veḷippaḍaiyāgath therigiṉḏraṉa.,idellam velippaidaiye theriyuthu,idhu velippaidaiyave theriyuthu
Ilayaraja has composed the film.,இளையராஜா இப்படத்திற்கு இசையமைத்துள்ளார்.,iḷaiyarājā ippaḍathiṟkŭ isaiyamaithuḷḷār.,Ilaiyaraaja indha padadhukku music pottirukkaar,ilaiyaraaja indha padadhukku music pottaru
Selvar died one day.,செல்வரும் ஒருநாள் இறந்தார்.,chelvarum orunāḷ iṟandhār.,panakkararum oru naalu seththu poyittaar,panakkaranum oru naal yerandhruvanga
On the other side is a messy mind.,மறுபக்கம் குழப்பமான மனது.,maṟubakkam kuzhappamāṉa maṉadhu.,innorupakkam  kuzhappamaana manasu,innorupakkam mana kollapam
Balasubramaniam also promoted them.,பாலசுப்பிரமணியமும் இவர்களை ஊக்குவித்தார்.,pālasuppiramaṇiyamum ivargaḷai ūkkuvithār.,balasubramaniyamum avangalukku ursaagam koduthaar,balasubramaniyum avangaluku help pannaru
It was launched in 1990.,இது 1990 தொடங்கப்பட்டது.,idhŭ 1990 thoḍaṅgappaṭṭadhu.,idhu 1990le aarambikkapattuchi,idhu 1990le start pannadhu
The claim has now been rejected.,அக்கூற்று தற்போது நிராகரிக்கப்பட்டுள்ளது.,akkūṯṟŭ thaṟpōdhŭ nirāgarikkappaṭṭuḷḷadhu.,antha karuththu ippo othukka pattirukku,antha karuthu ippo oththukala
Muhammad is the Messenger of the Lord.,முஹம்மது இறைவனின் தூதர்.,muhammadhŭ iṟaivaṉiṉ thūdhar.,mohammadu oru irai thoothuvar,mohammadu oru irai thoothuvar
There were three sisters.,மூன்று சகோதரிகளும் இருந்தனர்.,mūṉḏrŭ chagōdharigaḷum irundhaṉar.,moonu akka thangachingalum irundhaanga,moonu akka thangachi irundhaanga
He also learned Kalidasar's poems.,காளிதாசரின் கவிதைகளையும் கற்றார்.,kāḷidhāsariṉ kavidhaigaḷaiyum kaṯṟār.,kaalidasarado kavithaingalaiyum kaththukittaar,kaalidasaroda kavithaiyum kaththukittaaru
Knowledge is many types.,அறிவு பல வகைப்படும்.,aṟivŭ pala vagaippaḍum.,arivu neraiya vagai,arivu neraiya vagai
These shrink in the speech.,பேச்சுவழக்கில் இவை சுருங்கிவிடுகின்றன.,pēchuvazhakkil ivai churuṅgiviḍugiṉḏraṉa.,pechuvazhakile idellam suringipoochu,pechuvaakula idhelam maariduchi
He is a graduate of agriculture.,வேளாண்மைப் பட்டதாரி ஆவார்.,vēḷāṇmaip paṭṭadhāri āvār.,vivasaya pattathaari ivaru,agriculture degree holder ivaru
Early songs were released from Tamil Nadu.,ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.,aarambagaalathile thamizhagathilirundhudhaa paattu velivandhachu,aarambagaalathula thamizhnaatula irundhu dhan paattu vandhuchu
Manjula and many others.,மஞ்சுளா மற்றும் பலரும் நடித்துள்ளனர்.,manjuḷā maṯṟum palarum naḍithuḷḷaṉar.,manjula appuram neraiya peru nadichirukaanga,manjula appuram neraiya peru nadichirukaanga
It is a Malaysian company.,இது ஒரு மலேசியரினின் நிறுவனமாகும்.,idhŭ orŭ malēsiyariṉiṉ niṟuvaṉamāgum.,idhu oru maleeysiakkaarar niruvanum,idhu oru maleeysiakkaararoda company
Berlin was restored under her control.,பேர்லினை தன் கட்டுப்பாட்டுக்குள் மீட்டுக்கொண்டது.,pērliṉai thaṉ kaṭṭuppāṭṭukkuḷ mīṭṭukkoṇḍadhu.,berlinai thannoda kattukulla konduvandhichu,berlinai thannaoda controla konduvandhichu
To start the third body.,மூன்றாவது உடலைத் துவட்டிக் கொள்வதற்கு.,mūṉḏrāvadhŭ uḍalaith thuvaṭṭik koḷvadhaṟku.,moonavathu odambai  thovatta,moonavathu odamba thodaika
The prisoners witnessed the page.,கைதிகள் பக்கம் சாட்சி கூறினார்.,kaidhigaḷ pakkam chāṭchi kūṟiṉār.,kaithinga pakkam saatchi sonnaar,kaithinga pakkam saatchi sonaaru
So Janaki moved to Chennai.,அதனால் ஜானகியும் சென்னைக்குக் குடிபெயர்ந்தார்.,adhaṉāl jāṉagiyum cheṉṉaikkuk kuḍibeyarndhār.,adhanale janakiyum chennaikku kudi vandhaar,adhanale janakiyum chennaikku kudi poitanga
Many days have passed.,இப்படியே பல நாட்கள் கடந்தன.,ippaḍiyē pala nāṭkaḷ kaḍandhaṉa.,ipaadiye neraiya naalu oodipochu,ipaadiye neriya naal poiduchi
"For example, the water of the lakes can be said.",எடுத்துக்காட்டாக ஏரிகளின் நீரைக் கூறலாம்.,yeḍuthukkāṭṭāga yērigaḷiṉ nīraik kūṟalām.,maathirukki eeringa thanneerai sollalaam,example-a eeri thanniya sollalaam
Below is a list of these.,இவற்றின் பட்டியலைக் கீழே காணலாம்.,ivaṯṟiṉ paṭṭiyalaik kīzhē kāṇalām.,idhoda pattiyale keele paarkkalaam,idhoda lista keela paakkalaam
The fossils of the animal got more.,விலங்கின் புதைபடிவங்கள் அதிகமாக கிடைத்தது.,vilaṅgiṉ pudhaibaḍivaṅgaḷ adhigamāga kiḍaithadhu.,vilangoda pudhanchiponathu neraiya kidaichathu,vilangoda pudhanchiponathu neraiya kidaichathu
The water went to the sea in vain.,தண்ணீர் வீணாகக் கடலுக்குச் சென்றது.,thaṇṇīr vīṇāgak kaḍalukkuch cheṉḏradhu.,thanneer veena kadalukku poochi,thanni waste-a kadalukku pooguthu
Folk songs will be sung in louds.,நாட்டுப்புறப்பாடல்கள் உரத்த பண்களில் பாடப்படும்.,nāṭṭuppuṟappāḍalgaḷ uratha paṇgaḷil pāḍappaḍum.,naatuppurapaatunga saththamana koralil  paaduvaanga,naatuppura paattulam saththamana koralla paaduvanga
His magazine was closed as well.,அவரது பத்திரிகையும் அத்துடன் மூடப்பட்டது.,avaradhŭ pathirigaiyum athuḍaṉ mūḍappaṭṭadhu.,avaroda patthiraikayum adhode muudiyaachu,avaroda patthirikayum adhode muudiyachu
The songs of the films still live today.,இப்படங்களின் பாடல்கள் இன்றும் வாழ்கின்றன.,ippaḍaṅgaḷiṉ pāḍalgaḷ iṉḏrum vāzhgiṉḏraṉa.,indha padathoda paatunga innaikkum irukku,indha padathoda paatulaam innaikum irukku
They refused to accept their opinion.,அவர்கள் கருத்தை ஏற்க மறுத்துவிட்டார்.,avargaḷ karuthai yēṟka maṟuthuviṭṭār.,avanga karuththai oththukkalai,avanga karuththai oththukala
There are 17 local governments in Vadamandalam.,வடமண்டலத்தில் 17 உள்ளூராட்சிகள் உள்ளன.,vaḍamaṇḍalathil 17 uḷḷūrāṭchigaḷ uḷḷaṉa.,vadakku mandalathile 17 ooratchinga irukku,vadakku mandalathula 17 ooratchi irkkaam
These fruits are bitter and starting.,இப்பழங்கள் கசப்பும் துவர்ப்புமான சுவையுடையன.,ippazhaṅgaḷ kasappum thuvarppumāṉa chuvaiyuḍaiyaṉa.,indha pazhanga kasappaavum thuvappaavum irukkum,indha pazhangalam kasapa thuvappa irukkum
The ceasefire was signed in 1953.,1953இல் போர் நிறுத்தம் கையெழுத்தானது.,1953il pōr niṟutham kaiyezhuthāṉadhu.,1953le sanda nirutha oththukitaanga,1953le por nirutha oththukitaanga
It is used in all kinds of ammunition.,இது அனைத்துவிதமான வெடிபொருட்களிலும் பயன்படுத்தப்படுகிறது.,idhŭ aṉaithuvidhamāṉa veḍiboruṭkaḷilum payaṉbaḍuthappaḍugiṟadhu.,idhu ellamaathiriyaana vediporuliliyum irukkuthu,idhu ellam vediporulaiyum irukkum
Visayan won.,இதில் விசயன் வெற்றி பெற்றார்.,idhil visayaṉ veṯṟi peṯṟār.,idhile vijayan jeyichittaar,idhula vijayan jeyichittaru
"During the colonial period, the world spread.",காலனித்துவ காலத்தில் உலகெங்கும் பரவியது.,kālaṉithuva kālathil ulageṅgum paraviyadhu.,kaalanithuva kaalathile olagamellam paravichu,kaalanithuva kaalathile olagamellam paravichu
The common color of the rats is brown.,எலிகளின் பொதுவான நிறம் பழுப்பு.,yeligaḷiṉ podhuvāṉa niṟam pazhuppu.,eliyoda neram pazhuppu,eliyoda coloru brown
There is also a train station.,இங்கு தொடர்வண்டி நிலையமும் உள்ளது.,iṅgŭ thoḍarvaṇḍi nilaiyamum uḷḷadhu.,inge railway station irukku,inga railway station num irukku
Controlling colds and diarrhea.,"சளி, வயிற்றுப்போக்கு என்பவற்றைக் கட்டுப்படுத்தும்.","chaḷi, vayiṯṟuppōkkŭ yeṉbavaṯṟaik kaṭṭuppaḍuthum.",sali vayithaala  poradhai niruththum,sali vayithaala poradha niruththum
The bomb exploded in Mumbai in the evening.,மாலையில் மும்பையில் குண்டு வெடித்தது.,mālaiyil mumbaiyil kuṇḍŭ veḍithadhu.,saayindhiram mumbaiyila kundu vedichathu,saayindhiram mumbaiyila bomb vedichadham
The Japanese trains are named after the timelessness.,சப்பானிய ரயில்கள் நேரந்தவறாமைக்குப் பெயர்பெற்றவை.,chappāṉiya rayilgaḷ nērandhavaṟāmaikkup peyarbeṯṟavai.,japanu trainu neeramthavarama varum,japan trainlam time ku varumam
Thousands of people are injured.,ஆயிரக்கணக்காண மக்கள் காயம் அடைந்துள்ளனர்.,āyirakkaṇakkāṇa makkaḷ kāyam aḍaindhuḷḷaṉar.,ayirakkanakkaanavanga gaayam aanange,ayiram peruku mela gaayam aanangelam
There is also a pond in the temple.,கோவிலுனுள்ளே ஒரு குளமும் அமைந்துள்ளது.,kōviluṉuḷḷē orŭ kuḷamum amaindhuḷḷadhu.,koyilukkulla oru kolam irukku,koyilukkulla oru kolam irukkam
The oldest agricultural methods have fallen.,பழமையான விவசாய முறைகள் வீழ்ச்சியடையலாயின.,pazhamaiyāṉa vivasāya muṟaigaḷ vīzhchiyaḍaiyalāyiṉa.,pazhaiye vivasaaya murainga azhinchipoochu,pazhaiye vivasaaya murailam marainjiduchi
He has composed more than ten thousand songs.,பத்தாயிரத்துக்கு மேற்பட்ட பாடல்களைப் படைத்துள்ளார்.,pathāyirathukkŭ mēṟpaṭṭa pāḍalgaḷaip paḍaithuḷḷār.,paththayirathukkum meela paatunga potturukkaar,paththayirathikkum meela paatu potturukaaru
Salem is the capital of the region.,இம்மாவட்டத்தின் தலைநகரம் சேலம் ஆகும்.,immāvaṭṭathiṉ thalainagaram chēlam āgum.,indha maavaththooda thalainagaram salem,indha maavaththooda thalainagaram salem
They used the ancient techniques.,இவர்கள் கற்கால நுட்பங்களை பயன்படுத்தினர்.,ivargaḷ kaṟkāla nuṭpaṅgaḷai payaṉbaḍuthiṉar.,ivange aadhikaale muraingale payan paduthuraanga,ivange aandhakaale murailam use pannirkkange
He compiled these and later.,இவற்றைத் தொகுத்து பின் நூலாக்கினார்.,ivaṯṟaith thoguthŭ piṉ nūlākkiṉār.,oidhu ellaithaiyum thoguthu puthagam aakkinaar,ellaithaiyum thoguthu puthagam aakkinaaru
You give money.,நீங்கள் பணத்தை அள்ளிக் கொடுக்கிறீர்கள்.,nīṅgaḷ paṇathai aḷḷik koḍukkiṟīrgaḷ.,neenga panathe alli kodukkureenga,neenga kaasu alli kodukkureenga
Thus goes to the fifth.,இவ்வாறு ஐந்தாம் பாகம் செல்கிறது.,ivvāṟŭ aindhām pāgam chelgiṟadhu.,ippadi anjaam  baagam poovuthu,ippadi dhan 5th part pooguthu
The film did not get the expected success.,இப்படம் எதிர்பார்த்த வெற்றியைப் பெறவில்லை.,ippaḍam yedhirbārtha veṯṟiyaip peṟavillai.,indha padam ethirpaartha maadhiri oodale,indha padam ethirpaartha maari oodale
Pigeons are birds that are capable of flying.,புறாக்கள் பறக்கும் திறனுடைய பறவைகள்.,puṟākkaḷ paṟakkum thiṟaṉuḍaiya paṟavaigaḷ.,puranga parakkum paravainga,purangalum parakura paravai dhan
Uttukkuli butter is famous.,ஊத்துக்குளி வெண்ணெய் புகழ் பெற்றது.,ūthukkuḷi veṇṇey pugazh peṯṟadhu.,ooththukkuli vennai peeru poonadhu,ooththukkuli vennai peru poonadhu
He was also involved in the export of fabric.,துணி ஏற்றுமதியிலும் இவருக்குப் பங்கிருந்தது.,thuṇi yēṯṟumadhiyilum ivarukkup paṅgirundhadhu.,thuni aetrumadhiyile ivarukku pangirunthichu,thuni exportle ivarukkum panngu irundhuchu
It is also found in the fiber.,இதில் நார்ப்பொருளும் அதிகமாக காணப்படுகிறது.,idhil nārpporuḷum adhigamāga kāṇappaḍugiṟadhu.,adhule naaru adhigamaa irukku,adhule fiber adhigamaa irukku
Thirumavalavan left the government job.,திருமாவளவன் அரசு வேலையைத் துறந்தார்.,thirumāvaḷavaṉ arasŭ vēlaiyaith thuṟandhār.,thirumavalavan arasu velaiye vittuttaar,thirumavalavan arasu velaiye vittuttaaru
Used as a good panic medicine.,நல்ல பேதி மருந்தாகப் பயன்படுகிறது.,nalla pēdhi marundhāgap payaṉbaḍugiṟadhu.,nalla bethi marundhaa payanpaduthu,nalla bethi marundhaa velaseiyudhu
He is the head of the Union Cabinet.,இவரே மத்திய அமைச்சரவையின் தலைவராவார்.,ivarē mathiya amaicharavaiyiṉ thalaivarāvār.,ivarae madhiya amaicharaviyin thalaivar,ivarae madhiya amaicharaviyin thalaivar
He set up a bungalow here in 1845.,1845இல் இங்கு பங்களா  அமைத்தார்.,1845il iṅgŭ paṅgaḷā amaithār.,1845le inge bungala kattinaar,1845le inga bungla kattinaaru
This period is known as the bronze period.,இக்காலம் வெண்கலக் காலம் எனப்படுகிறது.,ikkālam veṇgalak kālam yeṉappaḍugiṟadhu.,indha kaalam venkalakaalam-nu sollappaduthu,indha kaalam venkalakaalam-nu solluvanga
Paris has many hills.,பாரிஸ் பல குன்றுகளைக் கொண்டுள்ளது.,pāris pala kuṉḏrugaḷaik koṇḍuḷḷadhu.,parisle neraiya malainga irukku,parisle neraiya malainga irukku
There is the sun in its center.,அதன் மையப்பகுதியில் சூரியன் உள்ளது.,adhaṉ maiyappagudhiyil chūriyaṉ uḷḷadhu.,adhode naduppaguthiyile sooriyan irukku,adhode centerle sooriyan irukku
It is easily crumbling.,இது எளிதில் நொறுங்கக் கூடியது.,idhŭ yeḷidhil noṟuṅgak kūḍiyadhu.,idhu seekkiram norungirum,idhu seekirame noringidum
The nickname of the Allland is Akhilan.,அகிலாண்டத்தின் புனைபெயர் அகிலன் ஆகும்.,agilāṇḍathiṉ puṉaibeyar agilaṉ āgum.,agilandathode punaiperu akilan,agilandathode chinna peru akilan
Boron nitride does not transmit electricity.,போரான் நைட்ரைடு மின்சாரத்தைக் கடத்துவதில்லை.,pōrāṉ naiṭraiḍŭ miṉsārathaik kaḍathuvadhillai.,poraan naitridu minsaaraththe kadaththaadhu,Boron Nitride minsaaraththe kadaththaadhu
It is often humid.,இது பெரும்பாலும் ஈரப்பதமாகவே இருக்கும்.,idhŭ perumbālum īrappadhamāgavē irukkum.,ithu eppavume eeramavey irukkum,ithu eppavum eeramavey irukkum
It stays underground.,இது நிலத்தடி நீராகத் தங்கிவிடுகிறது.,idhŭ nilathaḍi nīrāgath thaṅgiviḍugiṟadhu.,idhu nilaththadi neera thangidum,idhu nilaththadi thanni-ya thangidum
Dixon studied at secondary school.,டிக்சன் மேல்நிலைப் பள்ளியில் படித்தார்.,ṭikchaṉ mēlnilaip paḷḷiyil paḍithār.,tickson maelnilai palliyile padichaar,tickson maelnilai schoolle padichaaru
Mercury is a heavy metal.,பாதரசம் ஒரு கனமான உலோகமாகும்.,pādharasam orŭ kaṉamāṉa ulōgamāgum.,paatharasam oru ganamana ulogam,paatharasam oru weight-aana metal
The wall of the house flows.,வீட்டின் சுவர் ஓரமாகவே ஓடும்.,vīṭṭiṉ chuvar ōramāgavē ōḍum.,veetu suvar orama odum,veetu sevuru oorama odum
He was working as a teacher in Ahmed Nagar.,அகமதுநகரில் ஆசிரியராகப் பணியில் அமர்ந்தார்.,agamadhunagaril āsiriyarāgap paṇiyil amarndhār.,agamadhunagarile vaaththiyara velaikku serndhaar,agamadhunagarile teacher-ah velaikku serndhaaru
He was 13 years old.,அப்போது அவருக்கு 13 வயது.,appōdhŭ avarukkŭ 13 vayadhu.,appo avarukku 13 vayasu,appo avarukku 13 vayasu
He is now running in the UK.,இவர் இப்போது இங்கிலாந்தில் இயங்குகிறார்.,ivar ippōdhŭ iṅgilāndhil iyaṅgugiṟār.,ivaru ippo englandhula irukkaar,ivaru ippo englandle irukkaaru
India has banned the LTTE.,இந்தியா புலிகளை தடை செய்துள்ளது.,indhiyā puligaḷai thaḍai cheydhuḷḷadhu.,india pulikala thada seinchuirukku,india pulikala thada seinjadhu
He who created the archive of Manimegale.,மணிமேகலை என்னும் காப்பியத்தைப் படைத்தவர்.,maṇimēgalai yeṉṉum kāppiyathaip paḍaithavar.,manimegalai appadeengara ilakkiyatha ezhuthunavaru,manimegalai-engra kaapiyatha ezhuthunavaru
