english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
This is called radiation.,இதுவே கதிரியக்கம் எனப்படுகின்றது.,idhuvae kadhiriyakkam enappadugindradhu.,idhudhaan kathirveechi appadeengaradhu,idhudhaan kathirveechi appadeengaradhu
The man who invented this was Archimedes.,இதனைக் கண்டுபிடித்தவர் ஆர்க்கிமிடீஸ்.,idhanaik kandubidithavar aarkkimidees.,idhai kandupudichavaru arkkimidis,idha kandupudichavaru arkkimidis
Publisher in English.,ஆங்கிலத்தில் இதழ் வெளியிட்டவர்.,aangilathil idhazh veliyittavar.,aangiladhile patthirikkai veliyittavaru,englishle paper veliyittavaru
Horses are more visionary.,குதிரைகளுக்கும் பார்வைத்திறன் அதிகமாகும்.,kudhiraigalukkum paarvaithiran adhigamaagum.,kudhirainga  paarvai adhigamaagum,kudhiraikum paarvai jaasthi
These are obvious.,இவை வெளிப்படையாகத் தெரிகின்றன.,ivai velippadaiyaagath therigindrana.,idellam velippaidaiye theriyuthu,idhu velippaidaiyave theriyuthu
Ilayaraja has composed the film.,இளையராஜா இப்படத்திற்கு இசையமைத்துள்ளார்.,ilaiyaraajaa ippadathirku isaiyamaithullaar.,Ilaiyaraaja indha padadhukku music pottirukkaar,ilaiyaraaja indha padadhukku music pottaru
Selvar died one day.,செல்வரும் ஒருநாள் இறந்தார்.,chelvarum orunaal irandhaar.,panakkararum oru naalu seththu poyittaar,panakkaranum oru naal yerandhruvanga
On the other side is a messy mind.,மறுபக்கம் குழப்பமான மனது.,marubakkam kuzhappamaana manadhu.,innorupakkam  kuzhappamaana manasu,innorupakkam mana kollapam
Balasubramaniam also promoted them.,பாலசுப்பிரமணியமும் இவர்களை ஊக்குவித்தார்.,paalasuppiramaniyamum ivargalai ookkuvithaar.,balasubramaniyamum avangalukku ursaagam koduthaar,balasubramaniyum avangaluku help pannaru
It was launched in 1990.,இது 1990 தொடங்கப்பட்டது.,idhu 1990 thodangappattadhu.,idhu 1990le aarambikkapattuchi,idhu 1990le start pannadhu
The claim has now been rejected.,அக்கூற்று தற்போது நிராகரிக்கப்பட்டுள்ளது.,akkootru tharpodhu niraagarikkappattulladhu.,antha karuththu ippo othukka pattirukku,antha karuthu ippo oththukala
Muhammad is the Messenger of the Lord.,முஹம்மது இறைவனின் தூதர்.,muhammadhu iraivanin thoodhar.,mohammadu oru irai thoothuvar,mohammadu oru irai thoothuvar
There were three sisters.,மூன்று சகோதரிகளும் இருந்தனர்.,moondru chagodharigalum irundhanar.,moonu akka thangachingalum irundhaanga,moonu akka thangachi irundhaanga
He also learned Kalidasar's poems.,காளிதாசரின் கவிதைகளையும் கற்றார்.,kaalidhaasarin kavidhaigalaiyum katraar.,kaalidasarado kavithaingalaiyum kaththukittaar,kaalidasaroda kavithaiyum kaththukittaaru
Knowledge is many types.,அறிவு பல வகைப்படும்.,arivu pala vagaippadum.,arivu neraiya vagai,arivu neraiya vagai
These shrink in the speech.,பேச்சுவழக்கில் இவை சுருங்கிவிடுகின்றன.,paechuvazhakkil ivai churungividugindrana.,pechuvazhakile idellam suringipoochu,pechuvaakula idhelam maariduchi
He is a graduate of agriculture.,வேளாண்மைப் பட்டதாரி ஆவார்.,vaelaanmaip pattadhaari aavaar.,vivasaya pattathaari ivaru,agriculture degree holder ivaru
Early songs were released from Tamil Nadu.,ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,aarambagaalap paadalgal thamizhagathilirundhae velivandhana.,aarambagaalathile thamizhagathilirundhudhaa paattu velivandhachu,aarambagaalathula thamizhnaatula irundhu dhan paattu vandhuchu
Manjula and many others.,மஞ்சுளா மற்றும் பலரும் நடித்துள்ளனர்.,manjulaa matrum palarum nadithullanar.,manjula appuram neraiya peru nadichirukaanga,manjula appuram neraiya peru nadichirukaanga
It is a Malaysian company.,இது ஒரு மலேசியரினின் நிறுவனமாகும்.,idhu oru malaesiyarinin niruvanamaagum.,idhu oru maleeysiakkaarar niruvanum,idhu oru maleeysiakkaararoda company
Berlin was restored under her control.,பேர்லினை தன் கட்டுப்பாட்டுக்குள் மீட்டுக்கொண்டது.,paerlinai than kattuppaattukkul meettukkondadhu.,berlinai thannoda kattukulla konduvandhichu,berlinai thannaoda controla konduvandhichu
To start the third body.,மூன்றாவது உடலைத் துவட்டிக் கொள்வதற்கு.,moondraavadhu udalaith thuvattik kolvadharku.,moonavathu odambai  thovatta,moonavathu odamba thodaika
The prisoners witnessed the page.,கைதிகள் பக்கம் சாட்சி கூறினார்.,kaidhigal pakkam chaatchi koorinaar.,kaithinga pakkam saatchi sonnaar,kaithinga pakkam saatchi sonaaru
So Janaki moved to Chennai.,அதனால் ஜானகியும் சென்னைக்குக் குடிபெயர்ந்தார்.,adhanaal jaanagiyum chennaikkuk kudibeyarndhaar.,adhanale janakiyum chennaikku kudi vandhaar,adhanale janakiyum chennaikku kudi poitanga
Many days have passed.,இப்படியே பல நாட்கள் கடந்தன.,ippadiyae pala naatkal kadandhana.,ipaadiye neraiya naalu oodipochu,ipaadiye neriya naal poiduchi
"For example, the water of the lakes can be said.",எடுத்துக்காட்டாக ஏரிகளின் நீரைக் கூறலாம்.,eduthukkaattaaga aerigalin neeraik kooralaam.,maathirukki eeringa thanneerai sollalaam,example-a eeri thanniya sollalaam
Below is a list of these.,இவற்றின் பட்டியலைக் கீழே காணலாம்.,ivatrin pattiyalaik keezhae kaanalaam.,idhoda pattiyale keele paarkkalaam,idhoda lista keela paakkalaam
The fossils of the animal got more.,விலங்கின் புதைபடிவங்கள் அதிகமாக கிடைத்தது.,vilangin pudhaibadivangal adhigamaaga kidaithadhu.,vilangoda pudhanchiponathu neraiya kidaichathu,vilangoda pudhanchiponathu neraiya kidaichathu
The water went to the sea in vain.,தண்ணீர் வீணாகக் கடலுக்குச் சென்றது.,thanneer veenaagak kadalukkuch chendradhu.,thanneer veena kadalukku poochi,thanni waste-a kadalukku pooguthu
Folk songs will be sung in louds.,நாட்டுப்புறப்பாடல்கள் உரத்த பண்களில் பாடப்படும்.,naattuppurappaadalgal uratha pangalil paadappadum.,naatuppurapaatunga saththamana koralil  paaduvaanga,naatuppura paattulam saththamana koralla paaduvanga
His magazine was closed as well.,அவரது பத்திரிகையும் அத்துடன் மூடப்பட்டது.,avaradhu pathirigaiyum athudan moodappattadhu.,avaroda patthiraikayum adhode muudiyaachu,avaroda patthirikayum adhode muudiyachu
The songs of the films still live today.,இப்படங்களின் பாடல்கள் இன்றும் வாழ்கின்றன.,ippadangalin paadalgal indrum vaazhgindrana.,indha padathoda paatunga innaikkum irukku,indha padathoda paatulaam innaikum irukku
They refused to accept their opinion.,அவர்கள் கருத்தை ஏற்க மறுத்துவிட்டார்.,avargal karuthai aerka maruthuvittaar.,avanga karuththai oththukkalai,avanga karuththai oththukala
There are 17 local governments in Vadamandalam.,வடமண்டலத்தில் 17 உள்ளூராட்சிகள் உள்ளன.,vadamandalathil 17 ullooraatchigal ullana.,vadakku mandalathile 17 ooratchinga irukku,vadakku mandalathula 17 ooratchi irkkaam
These fruits are bitter and starting.,இப்பழங்கள் கசப்பும் துவர்ப்புமான சுவையுடையன.,ippazhangal kasappum thuvarppumaana chuvaiyudaiyana.,indha pazhanga kasappaavum thuvappaavum irukkum,indha pazhangalam kasapa thuvappa irukkum
The ceasefire was signed in 1953.,1953இல் போர் நிறுத்தம் கையெழுத்தானது.,1953il por nirutham kaiyezhuthaanadhu.,1953le sanda nirutha oththukitaanga,1953le por nirutha oththukitaanga
It is used in all kinds of ammunition.,இது அனைத்துவிதமான வெடிபொருட்களிலும் பயன்படுத்தப்படுகிறது.,idhu anaithuvidhamaana vediborutkalilum payanbaduthappadugiradhu.,idhu ellamaathiriyaana vediporuliliyum irukkuthu,idhu ellam vediporulaiyum irukkum
Visayan won.,இதில் விசயன் வெற்றி பெற்றார்.,idhil visayan vetri petraar.,idhile vijayan jeyichittaar,idhula vijayan jeyichittaru
"During the colonial period, the world spread.",காலனித்துவ காலத்தில் உலகெங்கும் பரவியது.,kaalanithuva kaalathil ulagengum paraviyadhu.,kaalanithuva kaalathile olagamellam paravichu,kaalanithuva kaalathile olagamellam paravichu
The common color of the rats is brown.,எலிகளின் பொதுவான நிறம் பழுப்பு.,eligalin podhuvaana niram pazhuppu.,eliyoda neram pazhuppu,eliyoda coloru brown
There is also a train station.,இங்கு தொடர்வண்டி நிலையமும் உள்ளது.,ingu thodarvandi nilaiyamum ulladhu.,inge railway station irukku,inga railway station num irukku
Controlling colds and diarrhea.,"சளி, வயிற்றுப்போக்கு என்பவற்றைக் கட்டுப்படுத்தும்.","chali, vayitruppokku enbavatraik kattuppaduthum.",sali vayithaala  poradhai niruththum,sali vayithaala poradha niruththum
The bomb exploded in Mumbai in the evening.,மாலையில் மும்பையில் குண்டு வெடித்தது.,maalaiyil mumbaiyil kundu vedithadhu.,saayindhiram mumbaiyila kundu vedichathu,saayindhiram mumbaiyila bomb vedichadham
The Japanese trains are named after the timelessness.,சப்பானிய ரயில்கள் நேரந்தவறாமைக்குப் பெயர்பெற்றவை.,chappaaniya rayilgal naerandhavaraamaikkup peyarbetravai.,japanu trainu neeramthavarama varum,japan trainlam time ku varumam
Thousands of people are injured.,ஆயிரக்கணக்காண மக்கள் காயம் அடைந்துள்ளனர்.,aayirakkanakkaana makkal kaayam adaindhullanar.,ayirakkanakkaanavanga gaayam aanange,ayiram peruku mela gaayam aanangelam
There is also a pond in the temple.,கோவிலுனுள்ளே ஒரு குளமும் அமைந்துள்ளது.,kovilunullae oru kulamum amaindhulladhu.,koyilukkulla oru kolam irukku,koyilukkulla oru kolam irukkam
The oldest agricultural methods have fallen.,பழமையான விவசாய முறைகள் வீழ்ச்சியடையலாயின.,pazhamaiyaana vivasaaya muraigal veezhchiyadaiyalaayina.,pazhaiye vivasaaya murainga azhinchipoochu,pazhaiye vivasaaya murailam marainjiduchi
He has composed more than ten thousand songs.,பத்தாயிரத்துக்கு மேற்பட்ட பாடல்களைப் படைத்துள்ளார்.,pathaayirathukku maerpatta paadalgalaip padaithullaar.,paththayirathukkum meela paatunga potturukkaar,paththayirathikkum meela paatu potturukaaru
Salem is the capital of the region.,இம்மாவட்டத்தின் தலைநகரம் சேலம் ஆகும்.,immaavattathin thalainagaram chaelam aagum.,indha maavaththooda thalainagaram salem,indha maavaththooda thalainagaram salem
They used the ancient techniques.,இவர்கள் கற்கால நுட்பங்களை பயன்படுத்தினர்.,ivargal karkaala nutpangalai payanbaduthinar.,ivange aadhikaale muraingale payan paduthuraanga,ivange aandhakaale murailam use pannirkkange
He compiled these and later.,இவற்றைத் தொகுத்து பின் நூலாக்கினார்.,ivatraith thoguthu pin noolaakkinaar.,oidhu ellaithaiyum thoguthu puthagam aakkinaar,ellaithaiyum thoguthu puthagam aakkinaaru
You give money.,நீங்கள் பணத்தை அள்ளிக் கொடுக்கிறீர்கள்.,neengal panathai allik kodukkireergal.,neenga panathe alli kodukkureenga,neenga kaasu alli kodukkureenga
Thus goes to the fifth.,இவ்வாறு ஐந்தாம் பாகம் செல்கிறது.,ivvaaru aindhaam paagam chelgiradhu.,ippadi anjaam  baagam poovuthu,ippadi dhan 5th part pooguthu
The film did not get the expected success.,இப்படம் எதிர்பார்த்த வெற்றியைப் பெறவில்லை.,ippadam edhirbaartha vetriyaip peravillai.,indha padam ethirpaartha maadhiri oodale,indha padam ethirpaartha maari oodale
Pigeons are birds that are capable of flying.,புறாக்கள் பறக்கும் திறனுடைய பறவைகள்.,puraakkal parakkum thiranudaiya paravaigal.,puranga parakkum paravainga,purangalum parakura paravai dhan
Uttukkuli butter is famous.,ஊத்துக்குளி வெண்ணெய் புகழ் பெற்றது.,oothukkuli venney pugazh petradhu.,ooththukkuli vennai peeru poonadhu,ooththukkuli vennai peru poonadhu
He was also involved in the export of fabric.,துணி ஏற்றுமதியிலும் இவருக்குப் பங்கிருந்தது.,thuni aetrumadhiyilum ivarukkup pangirundhadhu.,thuni aetrumadhiyile ivarukku pangirunthichu,thuni exportle ivarukkum panngu irundhuchu
It is also found in the fiber.,இதில் நார்ப்பொருளும் அதிகமாக காணப்படுகிறது.,idhil naarpporulum adhigamaaga kaanappadugiradhu.,adhule naaru adhigamaa irukku,adhule fiber adhigamaa irukku
Thirumavalavan left the government job.,திருமாவளவன் அரசு வேலையைத் துறந்தார்.,thirumaavalavan arasu vaelaiyaith thurandhaar.,thirumavalavan arasu velaiye vittuttaar,thirumavalavan arasu velaiye vittuttaaru
Used as a good panic medicine.,நல்ல பேதி மருந்தாகப் பயன்படுகிறது.,nalla paedhi marundhaagap payanbadugiradhu.,nalla bethi marundhaa payanpaduthu,nalla bethi marundhaa velaseiyudhu
He is the head of the Union Cabinet.,இவரே மத்திய அமைச்சரவையின் தலைவராவார்.,ivarae mathiya amaicharavaiyin thalaivaraavaar.,ivarae madhiya amaicharaviyin thalaivar,ivarae madhiya amaicharaviyin thalaivar
He set up a bungalow here in 1845.,1845இல் இங்கு பங்களா  அமைத்தார்.,1845il ingu pangalaa  amaithaar.,1845le inge bungala kattinaar,1845le inga bungla kattinaaru
This period is known as the bronze period.,இக்காலம் வெண்கலக் காலம் எனப்படுகிறது.,ikkaalam vengalak kaalam enappadugiradhu.,indha kaalam venkalakaalam-nu sollappaduthu,indha kaalam venkalakaalam-nu solluvanga
Paris has many hills.,பாரிஸ் பல குன்றுகளைக் கொண்டுள்ளது.,paaris pala kundrugalaik kondulladhu.,parisle neraiya malainga irukku,parisle neraiya malainga irukku
There is the sun in its center.,அதன் மையப்பகுதியில் சூரியன் உள்ளது.,adhan maiyappagudhiyil chooriyan ulladhu.,adhode naduppaguthiyile sooriyan irukku,adhode centerle sooriyan irukku
It is easily crumbling.,இது எளிதில் நொறுங்கக் கூடியது.,idhu elidhil norungak koodiyadhu.,idhu seekkiram norungirum,idhu seekirame noringidum
The nickname of the Allland is Akhilan.,அகிலாண்டத்தின் புனைபெயர் அகிலன் ஆகும்.,agilaandathin punaibeyar agilan aagum.,agilandathode punaiperu akilan,agilandathode chinna peru akilan
Boron nitride does not transmit electricity.,போரான் நைட்ரைடு மின்சாரத்தைக் கடத்துவதில்லை.,poraan naitraidu minsaarathaik kadathuvadhillai.,poraan naitridu minsaaraththe kadaththaadhu,Boron Nitride minsaaraththe kadaththaadhu
It is often humid.,இது பெரும்பாலும் ஈரப்பதமாகவே இருக்கும்.,idhu perumbaalum eerappadhamaagavae irukkum.,ithu eppavume eeramavey irukkum,ithu eppavum eeramavey irukkum
It stays underground.,இது நிலத்தடி நீராகத் தங்கிவிடுகிறது.,idhu nilathadi neeraagath thangividugiradhu.,idhu nilaththadi neera thangidum,idhu nilaththadi thanni-ya thangidum
Dixon studied at secondary school.,டிக்சன் மேல்நிலைப் பள்ளியில் படித்தார்.,tikchan maelnilaip palliyil padithaar.,tickson maelnilai palliyile padichaar,tickson maelnilai schoolle padichaaru
Mercury is a heavy metal.,பாதரசம் ஒரு கனமான உலோகமாகும்.,paadharasam oru kanamaana ulogamaagum.,paatharasam oru ganamana ulogam,paatharasam oru weight-aana metal
The wall of the house flows.,வீட்டின் சுவர் ஓரமாகவே ஓடும்.,veettin chuvar oramaagavae odum.,veetu suvar orama odum,veetu sevuru oorama odum
He was working as a teacher in Ahmed Nagar.,அகமதுநகரில் ஆசிரியராகப் பணியில் அமர்ந்தார்.,agamadhunagaril aasiriyaraagap paniyil amarndhaar.,agamadhunagarile vaaththiyara velaikku serndhaar,agamadhunagarile teacher-ah velaikku serndhaaru
He was 13 years old.,அப்போது அவருக்கு 13 வயது.,appodhu avarukku 13 vayadhu.,appo avarukku 13 vayasu,appo avarukku 13 vayasu
He is now running in the UK.,இவர் இப்போது இங்கிலாந்தில் இயங்குகிறார்.,ivar ippodhu ingilaandhil iyangugiraar.,ivaru ippo englandhula irukkaar,ivaru ippo englandle irukkaaru
India has banned the LTTE.,இந்தியா புலிகளை தடை செய்துள்ளது.,indhiyaa puligalai thadai cheydhulladhu.,india pulikala thada seinchuirukku,india pulikala thada seinjadhu
He who created the archive of Manimegale.,மணிமேகலை என்னும் காப்பியத்தைப் படைத்தவர்.,manimaegalai ennum kaappiyathaip padaithavar.,manimegalai appadeengara ilakkiyatha ezhuthunavaru,manimegalai-engra kaapiyatha ezhuthunavaru
He studied in Los Angeles.,லாஸ் ஏஞ்சலீசில் கல்வி பயின்றார்.,laas aenjaleesil kalvi payindraar.,los angelesle padichaar,los angelesle padichaaru
The two are dancing opposite.,இருவர் ஜோடியாக நடனம் ஆடுகின்றனர்.,iruvar jodiyaaga nadanam aadugindranar.,rendu perum jodiya aadaraanga,rendu perum jodiya aaduranga
Music -related research is carried out.,இசை சம்பந்தமான ஆராய்ச்சிகள் மேற்கொள்ளப்படுகின்றன.,isai chambandhamaana aaraaychigal maerkollappadugindrana.,isai sambandamana aaraychi nadakkuthu,isai related-ah aaraychi poittuirukku
Poons are very popular in the world.,உலகில் பூரான்கள் மிகப்பரவலாகக் காணப்படுகின்றன.,ulagil pooraangal migapparavalaagak kaanappadugindrana.,ulagile pooranga neraiye irukkuthu,ulagaththula puuran neraiye irukku
"However, he never ate beef.",இருப்பினும் அவர் மாட்டிறைச்சியை சாப்பிட்டதில்லை.,iruppinum avar maattiraichiyai chaappittadhillai.,irundhaalum avaru maattukari saappittadhille,irundhaalum avaru maathikari saapittadhila
The end of the last place.,இறுதியாக தொடங்கிய இடத்திலேயே முடிகின்றது.,irudhiyaaga thodangiya idathilaeyae mudigindradhu.,kadaisiya thodangina edathiliye mudiyudhu,kadaisiya aarambhicha edathiliye mudiyudhu
The film received positive criticism.,இப்படம் நேர்மறையான விமர்சனத்தைப் பெற்றது.,ippadam naermaraiyaana vimarsanathaip petradhu.,indhapadaththukku nalla vimarsanam vanthichu,indha padaththuku nalla reviews vandhuchu
He worked for them to be confident.,அவர்களுக்கு தன்னம்பிக்கை ஏற்பட உழைத்தார்.,avargalukku thannambikkai aerpada uzhaithaar.,avangalukku thannambikkai kodukka ozhaichaar,avangalukku thannambikkai kodukka ozhaichaaru
This is the present note.,இது தற்பொழுது உள்ள குறிப்பு.,idhu tharpozhudhu ulla kurippu.,idhu ippo irukkura kurippu,idhu ippo irikka kurippu
PF5 is a colorless gas.,PF5 ஒரு நிறமற்ற வாயுவாகும்.,PF5 oru niramatra vaayuvaagum.,PF5 oru niramilladha vayu,PF5 oru colorless gas
The new Dhanushkodi is currently being created.,தற்போது புதிய தனுஷ்கோடி உருவாக்கப்படுகிறது.,tharpodhu pudhiya thanushgodi uruvaakkappadugiradhu.,ippo puthu thanushkodi kattappaduthu,ippo puthu thanushkodi katturanga
